Date,Open,High,Low,Close,Adj Close,Volume,S&P Open,S&P High,S&P Low,S&P Close,S&P Adj Close,S&P Volume
5/15/1997,2.4375,2.5,1.927083,1.958333,1.958333,72156000,836.039978,842.450012,833.340027,841.880005,841.880005,458170000
5/16/1997,1.96875,1.979167,1.708333,1.729167,1.729167,14700000,841.880005,841.880005,829.150024,829.75,829.75,486780000
5/19/1997,1.760417,1.770833,1.625,1.708333,1.708333,6106800,829.75,835.919983,828.869995,833.27002,833.27002,345140000
5/20/1997,1.729167,1.75,1.635417,1.635417,1.635417,5467200,833.27002,841.960022,826.409973,841.659973,841.659973,450850000
5/21/1997,1.635417,1.645833,1.375,1.427083,1.427083,18853200,841.659973,846.869995,835.219971,839.349976,839.349976,540730000
5/22/1997,1.4375,1.447917,1.3125,1.395833,1.395833,11776800,839.349976,841.909973,833.859985,835.659973,835.659973,426940000
5/23/1997,1.40625,1.520833,1.333333,1.5,1.5,15937200,835.659973,848.48999,835.659973,847.030029,847.030029,417030000
5/27/1997,1.510417,1.645833,1.458333,1.583333,1.583333,8697600,847.030029,851.530029,840.960022,849.710022,849.710022,436150000
5/28/1997,1.625,1.635417,1.53125,1.53125,1.53125,4574400,849.710022,850.950012,843.210022,847.210022,847.210022,487340000
5/29/1997,1.541667,1.541667,1.479167,1.505208,1.505208,3472800,847.210022,848.960022,842.609985,844.080017,844.080017,462600000
5/30/1997,1.5,1.510417,1.479167,1.5,1.5,2594400,844.080017,851.869995,831.869995,848.280029,848.280029,537200000
6/2/1997,1.510417,1.53125,1.5,1.510417,1.510417,591600,848.280029,851.340027,844.609985,846.359985,846.359985,435950000
6/3/1997,1.53125,1.53125,1.479167,1.479167,1.479167,1183200,846.359985,850.559998,841.51001,845.47998,845.47998,527120000
6/4/1997,1.479167,1.489583,1.395833,1.416667,1.416667,3080400,845.47998,845.549988,838.820007,840.109985,840.109985,466690000
6/5/1997,1.416667,1.541667,1.375,1.541667,1.541667,5672400,840.109985,848.890015,840.109985,843.429993,843.429993,452610000
6/6/1997,1.515625,1.708333,1.510417,1.65625,1.65625,7807200,843.429993,859.23999,843.359985,858.01001,858.01001,488940000
6/9/1997,1.65625,1.708333,1.65625,1.6875,1.6875,2352000,858.01001,865.140015,858.01001,862.909973,862.909973,465810000
6/10/1997,1.708333,1.708333,1.53125,1.583333,1.583333,5458800,862.909973,870.049988,862.179993,865.27002,865.27002,526980000
6/11/1997,1.59375,1.604167,1.53125,1.541667,1.541667,1188000,865.27002,870.659973,865.150024,869.570007,869.570007,513740000
6/12/1997,1.583333,1.645833,1.552083,1.604167,1.604167,1632000,869.570007,884.340027,869.01001,883.460022,883.460022,592730000
6/13/1997,1.625,1.625,1.583333,1.583333,1.583333,693600,883.47998,894.690002,883.47998,893.27002,893.27002,575810000
6/16/1997,1.604167,1.604167,1.5625,1.572917,1.572917,913200,893.27002,895.169983,891.210022,893.900024,893.900024,414280000
6/17/1997,1.598958,1.598958,1.494792,1.505208,1.505208,4706400,893.900024,897.599976,886.190002,894.419983,894.419983,543010000
6/18/1997,1.520833,1.536458,1.5,1.510417,1.510417,2464800,894.419983,894.419983,887.030029,889.059998,889.059998,491740000
6/19/1997,1.510417,1.53125,1.5,1.510417,1.510417,1003200,889.059998,900.090027,888.98999,897.98999,897.98999,536940000
6/20/1997,1.53125,1.552083,1.5,1.526042,1.526042,3387600,897.98999,901.77002,897.77002,898.700012,898.700012,653110000
6/23/1997,1.541667,1.541667,1.479167,1.5,1.5,1047600,898.700012,898.700012,878.429993,878.619995,878.619995,492940000
6/24/1997,1.505208,1.526042,1.479167,1.510417,1.510417,751200,878.619995,896.75,878.619995,896.340027,896.340027,542650000
6/25/1997,1.526042,1.526042,1.489583,1.510417,1.510417,2106000,896.340027,902.090027,882.23999,888.98999,888.98999,603040000
6/26/1997,1.520833,1.520833,1.505208,1.510417,1.510417,3189600,888.98999,893.210022,879.320007,883.679993,883.679993,499780000
6/27/1997,1.515625,1.515625,1.479167,1.489583,1.489583,1188000,883.679993,894.700012,883.679993,887.299988,887.299988,472540000
6/30/1997,1.510417,1.598958,1.479167,1.541667,1.541667,2746800,887.299988,892.619995,879.820007,885.140015,885.140015,561540000
7/1/1997,1.541667,1.541667,1.510417,1.515625,1.515625,1292400,885.140015,893.880005,884.539978,891.030029,891.030029,544190000
7/2/1997,1.515625,1.59375,1.510417,1.588542,1.588542,3882000,891.030029,904.049988,891.030029,904.030029,904.030029,526970000
7/3/1997,1.598958,1.916667,1.59375,1.911458,1.911458,12577200,904.030029,917.820007,904.030029,916.919983,916.919983,374680000
7/7/1997,1.833333,2.020833,1.833333,2,2,8053200,916.919983,923.26001,909.690002,912.200012,912.200012,518780000
7/8/1997,2.041667,2.333333,2.041667,2.302083,2.302083,15517200,912.200012,918.76001,911.559998,918.75,918.75,526010000
7/9/1997,2.302083,2.385417,2.270833,2.322917,2.322917,8262000,918.75,922.030029,902.47998,907.539978,907.539978,589110000
7/10/1997,2.333333,2.572917,2.333333,2.5625,2.5625,9051600,907.539978,916.539978,904.309998,913.780029,913.780029,551340000
7/11/1997,2.520833,2.520833,2.208333,2.291667,2.291667,10531200,913.780029,919.73999,913.109985,916.679993,916.679993,500050000
7/14/1997,2.322917,2.333333,2.114583,2.135417,2.135417,4604400,916.679993,921.780029,912.02002,918.380005,918.380005,485960000
7/15/1997,2.135417,2.479167,2.135417,2.4375,2.4375,9274800,918.380005,926.150024,914.52002,925.76001,925.76001,598370000
7/16/1997,2.447917,2.494792,2.302083,2.333333,2.333333,3024000,925.76001,939.320007,925.76001,936.590027,936.590027,647390000
7/17/1997,2.34375,2.34375,2.15625,2.21875,2.21875,3169200,936.590027,936.960022,927.900024,931.609985,931.609985,629250000
7/18/1997,2.1875,2.21875,2.15625,2.15625,2.15625,780000,931.609985,931.609985,912.900024,915.299988,915.299988,589710000
7/21/1997,2.177083,2.197917,2.145833,2.182292,2.182292,574800,915.299988,915.380005,907.119995,912.940002,912.940002,459500000
7/22/1997,2.166667,2.1875,2.0625,2.135417,2.135417,1563600,912.940002,934.380005,912.940002,933.97998,933.97998,579590000
7/23/1997,2.1875,2.333333,2.177083,2.291667,2.291667,3259200,933.97998,941.799988,933.97998,936.559998,936.559998,616930000
7/24/1997,2.302083,2.3125,2.21875,2.260417,2.260417,1216800,936.559998,941.51001,926.909973,940.299988,940.299988,571020000
7/25/1997,2.21875,2.25,2.21875,2.229167,2.229167,620400,940.299988,945.650024,936.090027,938.789978,938.789978,521510000
7/28/1997,2.229167,2.395833,2.21875,2.322917,2.322917,2574000,938.789978,942.969971,935.190002,936.450012,936.450012,466920000
7/29/1997,2.364583,2.5,2.333333,2.479167,2.479167,4814400,936.450012,942.960022,932.559998,942.289978,942.289978,544540000
7/30/1997,2.5,2.505208,2.427083,2.447917,2.447917,2517600,942.289978,953.97998,941.97998,952.289978,952.289978,568470000
7/31/1997,2.4375,2.4375,2.333333,2.395833,2.395833,1454400,952.289978,957.72998,948.890015,954.309998,954.309998,547830000
8/1/1997,2.34375,2.416667,2.25,2.416667,2.416667,3588000,954.289978,955.349976,939.039978,947.140015,947.140015,513750000
8/4/1997,2.375,2.411458,2.302083,2.3125,2.3125,2671200,947.140015,953.179993,943.599976,950.299988,950.299988,456000000
8/5/1997,2.333333,2.333333,2.145833,2.208333,2.208333,3032400,950.299988,954.210022,948.919983,952.369995,952.369995,525710000
8/6/1997,2.208333,2.3125,2.1875,2.25,2.25,1243200,952.369995,962.429993,949.450012,960.320007,960.320007,565200000
8/7/1997,2.25,2.260417,2.125,2.177083,2.177083,2034000,960.320007,964.169983,950.869995,951.190002,951.190002,576030000
8/8/1997,2.166667,2.302083,2.104167,2.291667,2.291667,2211600,951.190002,951.190002,925.73999,933.539978,933.539978,563420000
8/11/1997,2.291667,2.333333,2.25,2.328125,2.328125,1239600,933.539978,938.5,925.390015,937,937,480340000
8/12/1997,2.28125,2.302083,2.197917,2.197917,2.197917,571200,937,942.98999,925.659973,926.530029,926.530029,499310000
8/13/1997,2.229167,2.229167,2.166667,2.197917,2.197917,590400,926.530029,935.77002,916.539978,922.02002,922.02002,587210000
8/14/1997,2.177083,2.25,2.119792,2.15625,2.15625,1041600,922.02002,930.070007,916.919983,924.77002,924.77002,530460000
8/15/1997,2.135417,2.15625,1.9375,2.114583,2.114583,1597200,924.77002,924.77002,900.809998,900.809998,900.809998,537820000
8/18/1997,2.052083,2.052083,1.96875,2.041667,2.041667,1784400,900.809998,912.570007,893.340027,912.48999,912.48999,514330000
8/19/1997,2.09375,2.208333,2.052083,2.166667,2.166667,1003200,912.48999,926.01001,912.48999,926.01001,926.01001,545630000
8/20/1997,2.1875,2.1875,2.072917,2.166667,2.166667,999600,926.01001,939.349976,924.580017,939.349976,939.349976,521270000
8/21/1997,2.135417,2.171875,2.072917,2.114583,2.114583,624000,939.349976,939.469971,921.349976,925.049988,925.049988,499000000
8/22/1997,2.104167,2.125,2.09375,2.125,2.125,712800,925.049988,925.049988,905.419983,923.539978,923.539978,460160000
8/25/1997,2.104167,2.260417,2.104167,2.21875,2.21875,1126800,923.549988,930.929993,917.289978,920.159973,920.159973,388990000
8/26/1997,2.239583,2.354167,2.229167,2.34375,2.34375,2574000,920.159973,922.469971,911.719971,913.02002,913.02002,449110000
