date,close,High,Low,Total Market Value,Dividend Market Value
4/13/2018,4228.53,4277.98,4208.96,4.67037E+12,0
4/12/2018,4244.28,4261.7,4212.5,4.68777E+12,0
4/11/2018,4193.5,4230.92,4179.13,4.63168E+12,0
4/10/2018,4209.64,4227.33,4149.11,4.64772E+12,0
4/9/2018,4104.63,4193.96,4101.12,4.53177E+12,99883315
4/6/2018,4074.47,4171.36,4057.91,4.49847E+12,0
4/5/2018,4172.38,4211.78,4142.53,4.60897E+12,53584542
4/4/2018,4163.82,4175,4009.39,4.5995E+12,0
4/3/2018,4102.37,4111.74,4027.94,4.53157E+12,0
4/2/2018,4056.16,4164.69,4012.04,4.48052E+12,0
3/29/2018,4162.41,4211.01,4074.81,4.59782E+12,7110857
3/28/2018,4073.15,4145.93,4051.67,4.49923E+12,265611672
3/27/2018,4113.99,4306.33,4081.05,4.5442E+12,0
3/26/2018,4274.53,4278.42,4128.17,4.72109E+12,0
3/23/2018,4104.73,4236.31,4104.46,4.53206E+12,0
3/22/2018,4223.74,4312.13,4221.99,4.66347E+12,10243624
3/21/2018,4337.09,4393.87,4323.72,4.78862E+12,718825621
3/20/2018,4360.73,4377.27,4330.67,4.81467E+12,179441263
3/19/2018,4351.88,4405.12,4310.93,4.8049E+12,0
3/16/2018,4458.23,4481.46,4444.62,4.92795E+12,0
3/15/2018,4461.19,4487.1,4437.75,4.9312E+12,0
3/14/2018,4458.58,4484.2,4433.89,4.92832E+12,0
3/13/2018,4457.71,4564.54,4441.52,4.92724E+12,7039925
3/12/2018,4524.85,4545.61,4506.76,5.00144E+12,5783515
3/9/2018,4502.98,4502.98,4441.62,4.97726E+12,0
3/8/2018,4413.33,4418.24,4387.47,4.87798E+12,199922666
3/7/2018,4392.11,4395.44,4333.54,4.85453E+12,5787425
3/6/2018,4365.44,4383.56,4343,4.82486E+12,106537844
3/5/2018,4342.36,4360.55,4270.24,4.79935E+12,5301535
3/2/2018,4303.32,4309.44,4189.06,4.75618E+12,0
3/1/2018,4255.89,4353.76,4217.94,4.70376E+12,42074469
2/28/2018,4329.09,4401.04,4329.09,4.78466E+12,169821304
2/27/2018,4361.77,4428.73,4361.77,4.82073E+12,853596592
2/26/2018,4406.39,4406.59,4360.73,4.87004E+12,1697281
2/23/2018,4341.49,4342.2,4279.8,4.79831E+12,41916215
2/22/2018,4253.13,4292.95,4242.59,4.70045E+12,119727213
2/21/2018,4249.46,4327.12,4249.46,4.6964E+12,350758220
2/20/2018,4265.07,4299.32,4219.69,4.71351E+12,191556372
2/16/2018,4241.07,4291.66,4236.56,4.68699E+12,662923
2/15/2018,4256.84,4257.54,4165.67,4.70442E+12,0
2/14/2018,4176.28,4181.34,4071.81,4.61539E+12,3332585545
2/13/2018,4092.1,4101.14,4048.97,4.52225E+12,0
2/12/2018,4078.62,4104.67,4013.43,4.50736E+12,0
2/9/2018,4007.1,4029.94,3842.06,4.42832E+12,3261117956
2/8/2018,3909.09,4096.82,3908.06,4.32001E+12,3068588
2/7/2018,4076.35,4162.37,4076.23,4.50487E+12,975012
2/6/2018,4150.24,4154.24,3957.35,4.58663E+12,1491833512
2/5/2018,4032.8,4237.68,4032.43,4.45685E+12,0
2/2/2018,4199.66,4278.33,4198.15,4.64298E+12,0
2/1/2018,4335.18,4369.77,4313.32,4.79324E+12,0
1/31/2018,4339.63,4350.15,4310.14,4.79816E+12,0
1/30/2018,4309.11,4337.98,4293.53,4.76441E+12,620945338
1/29/2018,4353.5,4379.2,4342.82,4.8135E+12,0
1/26/2018,4393.82,4393.82,4342.61,4.85807E+12,0
1/25/2018,4320.65,4373.17,4309.98,4.77717E+12,1037559
1/24/2018,4337.96,4396.56,4319.58,4.79632E+12,0
1/23/2018,4389.19,4393.59,4368.08,4.85295E+12,0
1/22/2018,4356.96,4356.96,4306.43,4.81731E+12,0
1/19/2018,4319.8,4327.76,4298.5,4.77622E+12,0
1/18/2018,4308.48,4319.89,4287.94,4.76371E+12,0
1/17/2018,4302.6,4304.46,4242.26,4.75796E+12,0
1/16/2018,4237.27,4306.12,4226.02,4.68571E+12,0
1/12/2018,4258.17,4261.45,4217.84,4.70883E+12,0
1/11/2018,4235.5,4235.5,4215.28,4.68379E+12,0
1/10/2018,4214.47,4216.31,4192,4.66053E+12,0
1/9/2018,4233.06,4254.34,4223.37,4.68109E+12,111852457
