date,close,High,Low,Total Market Value,Dividend Market Value
4/13/2018,4173.62,4232.93,4153.82,3378509690,0
4/12/2018,4201.58,4214.75,4160.82,3401144883,0
4/11/2018,4141.83,4178.94,4120.23,3352777422,0
4/10/2018,4150.19,4170.5,4099.53,3359541006,0
4/9/2018,4041.74,4135.53,4039.7,3271754776,218377
4/6/2018,4012.75,4110.17,3993.94,3248290016,0
4/5/2018,4120.66,4178.62,4093.35,3335642000,0
4/4/2018,4139.38,4149.69,3985.65,3350790439,733171
4/3/2018,4080.51,4090.07,4019.17,3303134418,0
4/2/2018,4029.19,4148.93,3988.94,3261596856,0
3/29/2018,4148.76,4190.21,4074.58,3358388627,0
3/28/2018,4077.14,4151.33,4061.5,3300413011,469704
3/27/2018,4132.43,4301.64,4103.35,3345163331,0
3/26/2018,4272.84,4275.12,4152.65,3458827319,0
3/23/2018,4121.87,4266.17,4121.87,3336617228,0
3/22/2018,4257.52,4349.71,4256.16,3446428840,0
3/21/2018,4377.21,4427.95,4360.5,3543315170,686625
3/20/2018,4377.73,4391.97,4357.7,3543732919,1048427
3/19/2018,4361.42,4412.64,4308.07,3530532796,0
3/16/2018,4447.24,4472.09,4438.8,4037063620,0
3/15/2018,4442.48,4468.97,4424.16,4032746366,0
3/14/2018,4437.95,4462.19,4411.26,4028635079,0
3/13/2018,4437.8,4544.46,4424.15,4028492223,0
3/12/2018,4496.59,4515.91,4476.65,4081860797,0
3/9/2018,4464.4,4464.4,4406.25,4052643535,0
3/8/2018,4376.47,4385.98,4352.59,3972827451,553697
3/7/2018,4358.44,4363.95,4299.84,3956453461,0
3/6/2018,4318.86,4326.15,4284.96,3920528219,268356
3/5/2018,4268.17,4286.68,4190.1,3874515806,0
3/2/2018,4216.57,4223.25,4101.48,3827668435,0
3/1/2018,4153.21,4230.94,4114.67,3770150223,0
2/28/2018,4211.38,4281.18,4211.38,3822957604,800610
2/27/2018,4237.21,4307.03,4237.21,3846407955,880173
2/26/2018,4276.64,4277.86,4230.83,3882201368,0
2/23/2018,4217.35,4217.57,4153.75,3828378318,0
2/22/2018,4131.74,4174.83,4122.62,3750665269,185109
2/21/2018,4142.5,4218.35,4141.85,3760435933,1630880
2/20/2018,4172.78,4203.75,4115.15,3787916768,608775
2/16/2018,4131.97,4175.75,4124.66,3750875430,0
