date,open,high,low,close,volume
4/24/2018,7160.7686,7171.6704,6961.521,7007.3525,1771296924
4/23/2018,7173.9902,7195.7202,7094.4302,7128.6001,1737370000
4/20/2018,7220.6401,7222.9902,7123.4902,7146.1299,1921790000
4/19/2018,7258.6099,7277.4502,7215.1699,7238.0601,1963950000
4/18/2018,7292.3799,7319.5801,7259.8999,7295.2402,1893220000
4/17/2018,7215.1201,7298.5898,7206.5498,7281.1001,1913230000
4/16/2018,7153.8701,7178.5098,7115.8501,7156.2798,1795950000
4/13/2018,7179.6201,7183.6201,7078.1401,7106.6499,1743640000
4/12/2018,7112.02,7166,7105.0898,7140.25,2021110000
4/11/2018,7055,7128.54,7055,7069.0298,1852120000
4/10/2018,7060.9902,7117.98,7014.8799,7094.2998,2238770000
4/9/2018,6971.4502,7074.9502,6944.96,6950.3398,2080900000
4/6/2018,6999.5698,7066.6401,6877.7598,6915.1099,2350540000
4/5/2018,7099.25,7112.3799,7036.6201,7076.5498,2124660000
4/4/2018,6811.77,7059.29,6811.77,7042.1099,2254070000
4/3/2018,6924.3501,6963.71,6835.23,6941.2798,2328510000
4/2/2018,7016.1699,7044.71,6805.96,6870.1201,2394730000
3/29/2018,6984.6602,7120.46,6935.7798,7063.4502,2554500000
3/28/2018,6978.2998,7036.0898,6901.0698,6949.23,2518670000
3/27/2018,7255.4702,7255.54,6963.6802,7008.8101,2325990000
3/26/2018,7125.2002,7225.8301,7022.3398,7220.54,2326060000
3/23/2018,7170.6802,7194.3101,6992.6699,6992.6699,2390410000
3/22/2018,7257.5498,7303.1899,7164.3799,7166.6802,2347160000
3/21/2018,7347.5,7415.6602,7325.3501,7345.29,1988390000
3/20/2018,7353.25,7380.7402,7331.2402,7364.2998,1967690000
3/19/2018,7419.2002,7421.23,7285.27,7344.2402,2324430000
3/16/2018,7504.3701,7514.21,7473.6802,7481.9902,3046990000
3/15/2018,7509.2402,7525.4399,7463.1899,7481.7402,1991570000
3/14/2018,7539.7798,7544.8901,7473.8999,7496.8101,2104450000
3/13/2018,7627.52,7637.27,7492.98,7511.0098,2448830000
3/12/2018,7581.04,7609.1001,7563.4399,7588.3198,2294440000
3/9/2018,7475.98,7560.8101,7469.0298,7560.8101,2302930000
3/8/2018,7422.77,7435.0098,7391.5,7427.9502,2272110000
3/7/2018,7311.7402,7403.79,7311.7402,7396.6499,2192230000
3/6/2018,7366.6099,7378.0298,7319.6802,7372.0098,2112570000
3/5/2018,7222.8901,7350.0698,7205.3101,7330.71,49345880000
3/2/2018,7099.54,7267.1899,7084.8301,7257.8701,2287320000
3/1/2018,7274.75,7307.8501,7117.6602,7180.5601,2489040000
2/28/2018,7371.4102,7386.7998,7273.0098,7273.0098,2373880000
2/27/2018,7416.1699,7438.0898,7330.3501,7330.3501,2155850000
2/26/2018,7373.2998,7421.8501,7360.25,7421.46,1866610000
2/23/2018,7261.3501,7337.8301,7232.5,7337.3901,1879460000
2/22/2018,7252.46,7280.9302,7194.8398,7210.0898,1911900000
2/21/2018,7258.48,7338.6401,7218.1099,7218.23,1946010000
2/20/2018,7209.0298,7295.9502,7206,7234.3101,1911170000
2/16/2018,7236.5098,7303.2598,7226.3799,7239.4702,2019830000
2/15/2018,7200.75,7256.9302,7130.3901,7256.4302,2110700000
2/14/2018,6979.2402,7152.0498,6977.0698,7143.6201,2211460000
2/13/2018,6942.1602,7025.6802,6938.1602,7013.5098,1816670000
2/12/2018,6936.6802,7023.6201,6879.6899,6981.96,2240420000
2/9/2018,6863.3398,6917.0098,6630.6699,6874.4902,3155990000
2/8/2018,7067.2998,7073.9902,6776.77,6777.1602,2707700000
2/7/2018,7086.2002,7170.3398,7051.5298,7051.98,2366970000
2/6/2018,6837.5601,7126.5498,6824.8198,7115.8799,3131030000
2/5/2018,7165.96,7277.3599,6967.5298,6967.5298,3106870000
2/2/2018,7347.5898,7364.4302,7238.1802,7240.9502,2587770000
2/1/2018,7377.1699,7441.0898,7362.2798,7385.8599,2291680000
1/31/2018,7443.25,7453.9902,7381.1201,7411.48,2407540000
1/30/2018,7388.8901,7433.6499,7373.9902,7402.48,2163980000
1/29/2018,7484.4702,7500.6099,7455.5498,7466.5098,2103380000
1/26/2018,7448.3301,7505.77,7431.2202,7505.77,2059010000
1/25/2018,7457.9502,7458.5298,7388.5801,7411.1602,2061450000
1/24/2018,7474.1602,7486.3198,7376.75,7415.0601,2277010000
1/23/2018,7424.9502,7465.3901,7423.1802,7460.29,2119840000
1/22/2018,7338.04,7408.0298,7332.8101,7408.0298,2106070000
1/19/2018,7312,7336.3799,7297.2798,7336.3799,1997270000
1/18/2018,7293.6499,7313.8901,7276.1099,7296.0498,2026220000
1/17/2018,7257.77,7309.3599,7229.3198,7298.2798,2238070000
1/16/2018,7307.1899,7330.3301,7205.9302,7223.6899,2377140000
1/12/2018,7208.1699,7265.2598,7205.1802,7261.0601,1976200000
1/11/2018,7168.73,7211.7798,7163.23,7211.7798,2009740000
1/10/2018,7129.8301,7154.2402,7111.52,7153.5698,2122740000
1/9/2018,7174.1899,7181.1401,7148.2998,7163.5801,0
1/8/2018,7135.3799,7161.3501,7124.0898,7157.3901,2051430000
1/5/2018,7105.7402,7137.04,7097.0801,7136.5601,2020900000
1/4/2018,7089.5,7098.0498,7072.3799,7077.9102,2098890000
1/3/2018,7017.0698,7069.1499,7016.7002,7065.5298,2166780000
1/2/2018,6937.6499,7006.9102,6924.0801,7006.8999,1914930000
12/29/2017,6952.6099,6954.98,6903.3901,6903.3901,1571730000
12/28/2017,6953.3799,6954.7998,6936.75,6950.1602,1311320000
12/27/2017,6941.4502,6955.3799,6931.3398,6939.3398,1409540000
12/26/2017,6928.9199,6942.1401,6915.5601,6936.25,1304340000
12/22/2017,6958.02,6962.2598,6944.4502,6959.96,1539250000
12/21/2017,6972.8799,6992.6299,6961.21,6965.3599,1815620000
12/20/2017,6991.25,6991.25,6935.4199,6960.96,1874550000
12/19/2017,6991.25,6995.8799,6951.4902,6963.8501,2071060000
12/18/2017,6980.3999,7003.8901,6975.54,6994.7598,2144360000
12/15/2017,6871.5498,6945.8198,6871.4502,6936.5801,3510420000
12/14/2017,6887.3799,6901.1299,6851.6299,6856.5298,1985200000
12/13/2017,6880.4102,6897.6201,6871.8701,6875.7998,1919560000
12/12/2017,6872.71,6884.7998,6856.2998,6862.3198,1861560000
12/11/2017,6847.6401,6879.7998,6844.8799,6875.0801,1818970000
12/8/2017,6859.9502,6870.48,6831.6099,6840.0801,1806040000
12/7/2017,6785.7402,6829.29,6778.2002,6812.8398,1934120000
12/6/2017,6742.0698,6787.4199,6734.1299,6776.3799,1891850000
12/5/2017,6759.1401,6836.4502,6752.3198,6762.21,2083540000
12/4/2017,6897.1299,6899.23,6770.6899,6775.3701,2426570000
12/1/2017,6844.04,6872.1699,6737.1602,6847.5898,2293570000
11/30/2017,6852.7998,6888.6499,6838.48,6873.9702,2458580000
11/29/2017,6907.2798,6908.3301,6793.9502,6824.3901,2452860000
