timestamp,date_value,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
4/9/2018,43199,1425.03,1438.48,1411.615,1411.8297,1411.8297,3101647,0,1
4/6/2018,43196,1429.97,1452.5,1400.26,1405.23,1405.23,5882257,0,1
4/5/2018,43195,1441.99,1459.56,1427.07,1451.75,1451.75,6413459,0,1
4/4/2018,43194,1358.24,1415.39,1352.88,1410.57,1410.57,6982305,0,1
4/3/2018,43193,1391.38,1414,1355.33,1392.05,1392.05,10231212,0,1
4/2/2018,43192,1417.62,1421.36,1355,1371.99,1371.99,10463607,0,1
3/29/2018,43188,1406,1455.47,1365.2,1447.34,1447.34,12581121,0,1
3/28/2018,43187,1447,1455.9,1386.17,1431.42,1431.42,13705317,0,1
3/27/2018,43186,1572.4,1575.96,1482.32,1497.05,1497.05,6793279,0,1
3/26/2018,43185,1530,1556.99,1499.25,1555.86,1555.86,5547618,0,1
3/23/2018,43182,1539.01,1549.02,1495.36,1495.56,1495.56,7843966,0,1
3/22/2018,43181,1565.47,1573.85,1542.4,1544.92,1544.92,6177737,0,1
3/21/2018,43180,1586.45,1590,1563.17,1581.86,1581.86,4667291,0,1
3/20/2018,43179,1550.34,1587,1545.41,1586.51,1586.51,4507049,0,1
3/19/2018,43178,1554.53,1561.66,1525.35,1544.93,1544.93,6376619,0,1
3/16/2018,43175,1583.45,1589.44,1567.5,1571.68,1571.68,5145054,0,1
3/15/2018,43174,1595,1596.91,1578.11,1582.32,1582.32,4026744,0,1
3/14/2018,43173,1597,1606.44,1590.89,1591,1591,4164395,0,1
3/13/2018,43172,1615.96,1617.54,1578.01,1588.18,1588.18,6427066,0,1
3/12/2018,43171,1592.6,1605.33,1586.7,1598.39,1598.39,5115886,0,1
3/9/2018,43168,1563.5,1578.94,1559.08,1578.89,1578.89,4417059,0,1
3/8/2018,43167,1550,1554.88,1545.25,1551.86,1551.86,3512528,0,1
3/7/2018,43166,1526.52,1545.9,1522.51,1545,1545,4174123,0,1
3/6/2018,43165,1533.2,1542.13,1528,1537.64,1537.64,4561718,0,1
3/5/2018,43164,1494.24,1525.38,1481,1523.61,1523.61,5233934,0,1
3/2/2018,43161,1469.1,1501.05,1455.01,1500.25,1500.25,6587564,0,1
3/1/2018,43160,1513.6,1518.49,1465,1493.45,1493.45,6835230,0,1
2/28/2018,43159,1519.51,1528.7,1512,1512.45,1512.45,4426580,0,1
2/27/2018,43158,1524.5,1526.78,1507.21,1511.98,1511.98,4708378,0,1
2/26/2018,43157,1509.2,1522.84,1507,1521.95,1521.95,4909053,0,1
2/23/2018,43154,1495.34,1500,1486.5,1500,1500,4327008,0,1
2/22/2018,43153,1495.36,1502.54,1475.76,1485.34,1485.34,4732555,0,1
2/21/2018,43152,1485,1503.49,1478.92,1482.92,1482.92,6216694,0,1
2/20/2018,43151,1446.49,1488.77,1446.49,1468.35,1468.35,6388374,0,1
2/16/2018,43147,1457.37,1465.8,1446.56,1448.69,1448.69,4410879,0,1
2/15/2018,43146,1466.89,1468.94,1436.84,1461.76,1461.76,5598111,0,1
2/14/2018,43145,1406.25,1452.06,1403.36,1451.05,1451.05,5881238,0,1
2/13/2018,43144,1385.93,1419.72,1383.53,1414.51,1414.51,5858860,0,1
2/12/2018,43143,1364.67,1393.81,1344.01,1386.23,1386.23,6682214,0,1
2/9/2018,43140,1373.49,1383.5,1265.93,1339.6,1339.6,13787886,0,1
2/8/2018,43139,1429.67,1433.75,1349.94,1350.5,1350.5,8108560,0,1
2/7/2018,43138,1449,1460.99,1415.15,1416.78,1416.78,7066828,0,1
2/6/2018,43137,1361.46,1443.99,1351.79,1442.84,1442.84,10773963,0,1
2/5/2018,43136,1402.62,1458.98,1320.72,1390,1390,10756332,0,1
2/2/2018,43133,1477.39,1498,1414,1429.95,1429.95,10915962,0,1
2/1/2018,43132,1445,1459.88,1385.14,1390,1390,7812953,0,1
1/31/2018,43131,1451.3,1472.58,1450.04,1450.89,1450.89,6220396,0,1
1/30/2018,43130,1403.17,1439.25,1392,1437.82,1437.82,5736512,0,1
1/29/2018,43129,1409.18,1431.39,1400.44,1417.68,1417.68,5628992,0,1
1/26/2018,43126,1392.01,1402.53,1380.91,1402.05,1402.05,4584082,0,1
1/25/2018,43125,1368,1378.34,1357.62,1377.95,1377.95,4621862,0,1
1/24/2018,43124,1374.82,1388.16,1338,1357.51,1357.51,6730084,0,1
1/23/2018,43123,1338.09,1364.9,1337.34,1362.54,1362.54,5056764,0,1
1/22/2018,43122,1297.17,1327.45,1296.66,1327.31,1327.31,3970151,0,1
1/19/2018,43119,1312,1313,1292.99,1294.58,1294.58,4395070,0,1
1/18/2018,43118,1293.95,1304.6,1284.02,1293.32,1293.32,3941007,0,1
1/17/2018,43117,1312.24,1314,1280.88,1295,1295,5166748,0,1
1/16/2018,43116,1323,1339.94,1292.3,1304.86,1304.86,7111172,0,1
1/12/2018,43112,1273.39,1305.76,1273.39,1305.2,1305.2,5360681,0,1
1/11/2018,43111,1259.74,1276.77,1256.46,1276.68,1276.68,3075315,0,1
1/10/2018,43110,1245.15,1254.33,1237.23,1254.33,1254.33,2659507,0,1
1/9/2018,43109,1256.9,1259.33,1241.76,1252.7,1252.7,3646681,0,1
1/8/2018,43108,1236,1253.08,1232.03,1246.87,1246.87,4177533,0,1
1/5/2018,43105,1217.51,1229.14,1210,1229.14,1229.14,3430148,0,1
1/4/2018,43104,1205,1215.87,1204.66,1209.59,1209.59,3000366,0,1
1/3/2018,43103,1188.3,1205.49,1188.3,1204.2,1204.2,3044664,0,1
1/2/2018,43102,1172,1190,1170.51,1189.01,1189.01,2587899,0,1
12/29/2017,43098,1182.35,1184,1167.5,1169.47,1169.47,2625283,0,1
12/28/2017,43097,1189,1190.1,1184.38,1186.1,1186.1,1803460,0,1
12/27/2017,43096,1179.91,1187.29,1175.61,1182.26,1182.26,1779382,0,1
12/26/2017,43095,1168.36,1178.32,1160.55,1176.76,1176.76,1964871,0,1
12/22/2017,43091,1172.08,1174.62,1167.83,1168.36,1168.36,1553997,0,1
12/21/2017,43090,1175.9,1179.17,1167.64,1174.76,1174.76,2042448,0,1
12/20/2017,43089,1190.5,1191,1176,1177.62,1177.62,2318916,0,1
12/19/2017,43088,1189.15,1192.97,1179.14,1187.38,1187.38,2555235,0,1
12/18/2017,43087,1187.37,1194.78,1180.91,1190.58,1190.58,2767271,0,1
12/15/2017,43084,1179.03,1182.75,1169.33,1179.14,1179.14,4539895,0,1
12/14/2017,43083,1163.71,1177.93,1162.45,1174.26,1174.26,3069993,0,1
12/13/2017,43082,1170,1170.87,1160.27,1164.13,1164.13,2555053,0,1
12/12/2017,43081,1166.51,1173.6,1161.61,1165.08,1165.08,2197697,0,1
12/11/2017,43080,1164.6,1169.9,1157,1168.92,1168.92,2257922,0,1
12/8/2017,43077,1170.4,1172.79,1157.1,1162,1162,2957785,0,1
12/7/2017,43076,1156.59,1163.19,1151,1159.79,1159.79,2408323,0,1
12/6/2017,43075,1137.99,1155.89,1136.08,1152.35,1152.35,2756730,0,1
12/5/2017,43074,1128.26,1159.27,1124.74,1141.57,1141.57,4033184,0,1
12/4/2017,43073,1173.85,1175.2,1128,1133.95,1133.95,5872358,0,1
12/1/2017,43070,1172.05,1179.65,1152,1162.35,1162.35,4070722,0,1
11/30/2017,43069,1167.1,1178.57,1160,1176.75,1176.75,4470183,0,1
11/29/2017,43068,1194.8,1194.8,1145.19,1161.27,1161.27,9239087,0,1
11/28/2017,43067,1204.88,1205.34,1188.52,1193.6,1193.6,4463476,0,1
11/27/2017,43066,1202.66,1213.41,1191.15,1195.83,1195.83,6701343,0,1
11/24/2017,43063,1160.7,1186.84,1160.7,1186,1186,3526582,0,1
11/22/2017,43061,1141,1160.27,1141,1156.16,1156.16,3516336,0,1
11/21/2017,43060,1132.86,1140,1128.2,1139.49,1139.49,2449503,0,1
11/20/2017,43059,1129.77,1133.42,1122.55,1126.31,1126.31,2134381,0,1
11/17/2017,43056,1138.28,1138.8,1125.81,1129.88,1129.88,2333554,0,1
11/16/2017,43055,1130.16,1138.16,1130.05,1137.29,1137.29,2190456,0,1
11/15/2017,43054,1127.01,1131.75,1121.63,1126.69,1126.69,3897230,0,1
11/14/2017,43053,1130.11,1138,1123.89,1136.84,1136.84,3042295,0,1
11/13/2017,43052,1123,1139.9,1122.34,1129.17,1129.17,2897563,0,1
11/10/2017,43049,1126.1,1131.75,1124.06,1125.35,1125.35,2162985,0,1
11/9/2017,43048,1125.96,1129.62,1115.77,1129.13,1129.13,3661411,0,1
11/8/2017,43047,1122.82,1135.54,1119.11,1132.88,1132.88,2581451,0,1
11/7/2017,43046,1124.74,1130.6,1117.5,1123.17,1123.17,2623474,0,1
11/6/2017,43045,1109.15,1125.41,1108.77,1120.66,1120.66,3313857,0,1
11/3/2017,43042,1091.15,1112.68,1088.52,1111.6,1111.6,3685172,0,1
11/2/2017,43041,1097.81,1101.94,1086.87,1094.22,1094.22,3658748,0,1
11/1/2017,43040,1105.4,1108.97,1096.74,1103.68,1103.68,3723680,0,1
10/31/2017,43039,1109,1110.54,1101.12,1105.28,1105.28,3428461,0,1
10/30/2017,43038,1095.01,1122.79,1093.56,1110.85,1110.85,6516639,0,1
10/27/2017,43035,1058.14,1105.58,1050.55,1100.95,1100.95,16360527,0,1
10/26/2017,43034,980.33,982.9,968.55,972.43,972.43,3670282,0,1
10/25/2017,43033,978,984.44,966.24,972.91,972.91,2969295,0,1
10/24/2017,43032,969,979.85,965,975.9,975.9,2666782,0,1
10/23/2017,43031,986.73,986.775,962.5,966.3,966.3,3465469,0,1
10/20/2017,43028,993.53,994.62,982,982.91,982.91,2294145,0,1
10/19/2017,43027,990,991.05,980.24,986.61,986.61,3040066,0,1
10/18/2017,43026,1009.27,1022.31,996.55,997,997,2477357,0,1
10/17/2017,43025,1005.59,1011.47,1004.38,1009.13,1009.13,2307075,0,1
10/16/2017,43024,1008.44,1009.57,1001.04,1006.34,1006.34,1991556,0,1
10/13/2017,43021,1007,1007.77,1001.03,1002.94,1002.94,2399403,0,1
10/12/2017,43020,996.81,1008.44,992.4,1000.93,1000.93,4056172,0,1
10/11/2017,43019,991.27,995.5,986.695,995,995,2310872,0,1
10/10/2017,43018,996.67,997.95,980.099,987.2,987.2,3062820,0,1
10/9/2017,43017,993.24,998.5,987.5,990.99,990.99,2927994,0,1
10/6/2017,43014,975.64,995.75,975.64,989.58,989.58,3719840,0,1
10/5/2017,43013,970,981.51,969.64,980.85,980.85,3119487,0,1
10/4/2017,43012,954.21,967.79,954.05,965.45,965.45,2460721,0,1
10/3/2017,43011,958,963.69,950.37,957.1,957.1,2643484,0,1
10/2/2017,43010,964,967.305,952.1201,959.19,959.19,2415846,0,1
9/29/2017,43007,960.11,964.83,958.375,961.35,961.35,2411643,0,1
9/28/2017,43006,951.86,959.7,950.101,956.4,956.4,2512567,0,1
9/27/2017,43005,948,955.3,943.3,950.87,950.87,3111263,0,1
9/26/2017,43004,945.49,948.63,931.75,938.6,938.6,3464183,0,1
9/25/2017,43003,949.31,949.42,932.89,939.79,939.79,5065542,0,1
9/22/2017,43000,961.01,965.61,954.42,955.1,955.1,2602418,0,1
9/21/2017,42999,971.31,971.7,962.02,964.65,964.65,2252940,0,1
9/20/2017,42998,971.79,974.81,962.1626,973.21,973.21,2727355,0,1
9/19/2017,42997,977.25,978.24,967.46,969.86,969.86,2614059,0,1
9/18/2017,42996,990.4,992.7922,968.17,974.19,974.19,3376772,0,1
9/15/2017,42993,993.01,996.25,984.03,986.79,986.79,3697742,0,1
9/14/2017,42992,996.8,998.56,987.74,992.21,992.21,3788472,0,1
9/13/2017,42991,983.97,1000,979.42,999.6,999.6,3314978,0,1
9/12/2017,42990,983.27,984.6718,975.517,982.58,982.58,2444699,0,1
9/11/2017,42989,974.46,981.94,974.22,977.96,977.96,2134582,0,1
9/8/2017,42986,979.1,979.88,963.47,965.9,965.9,2578269,0,1
9/7/2017,42985,974,980.59,972.55,979.47,979.47,2536000,0,1
9/6/2017,42984,968.32,971.84,960.6,967.8,967.8,2106605,0,1
9/5/2017,42983,975.4,976.7699,960.37,965.27,965.27,2875228,0,1
9/1/2017,42979,984.2,984.5,976.875,978.25,978.25,2423132,0,1
8/31/2017,42978,974.7,981,972.76,980.6,980.6,3280945,0,1
8/30/2017,42977,958.44,969.41,956.9062,967.59,967.59,2860718,0,1
8/29/2017,42976,940,956,936.33,954.06,954.06,2853972,0,1
8/28/2017,42975,946.54,953,942.25,946.02,946.02,2529087,0,1
8/25/2017,42972,956,957.621,944.1,945.26,945.26,3292776,0,1
8/24/2017,42971,957.42,959,941.14,952.45,952.45,5086748,0,1
8/23/2017,42970,959.38,962,954.2,958,958,2590245,0,1
8/22/2017,42969,955.52,967.93,955.495,966.9,966.9,2718261,0,1
8/21/2017,42968,957.57,961.2,945.46,953.29,953.29,3008450,0,1
8/18/2017,42965,961.4,965.43,954.65,958.47,958.47,3248677,0,1
8/17/2017,42964,977.84,977.84,960.32,960.57,960.57,3396045,0,1
