date,open,high,low,close,volume,adjusted_close
12/31/2014,311.55,312.98,310.01,310.35,2057766,310.35
12/30/2014,309.91,313.94,309.34,310.3,2093023,310.3
12/29/2014,307.85,314.27,306.58,312.04,3009046,312.04
12/26/2014,305,310.7799,303.81,309.09,2893801,309.09
12/24/2014,306.38,307,302.875,303.03,1518107,303.03
12/23/2014,306.98,307.49,303.252,306.285,2718359,306.285
12/22/2014,301.94,307.36,301.94,306.54,4003827,306.54
12/19/2014,296.91,301.54,295.52,299.9,8709129,299.9
12/18/2014,304.01,304.5,293.25,297.73,7738067,297.73
12/17/2014,296.37,299.67,293.03,298.88,4433505,298.88
12/16/2014,304.35,304.49,295.01,295.06,6501252,295.06
12/15/2014,308.87,310.86,302.15,306.07,3841577,306.07
12/12/2014,303.99,310.6399,303.01,307.32,3162322,307.32
12/11/2014,307.89,312.64,306.01,307.36,3272919,307.36
12/10/2014,312,313.19,304.68,305.84,3245890,305.84
12/9/2014,302.99,313.639,301.14,312.5,4049506,312.5
12/8/2014,311.57,316.56,304.821,306.64,3639180,306.64
12/5/2014,316.8,316.93,310.84,312.63,3265214,312.63
12/4/2014,315.53,318.59,313.47,316.93,3296642,316.93
12/3/2014,325.73,326.77,314.36,316.5,5689904,316.5
12/2/2014,327.5,327.93,323.25,326.31,2790257,326.31
12/1/2014,338.12,340.64,325.93,326,4944861,326
11/28/2014,336.03,341.26,336.03,338.64,3051798,338.64
11/26/2014,333.78,334.65,331.75,333.57,1985949,333.57
11/25/2014,335.27,336.3325,331.28,335.04,2564989,335.04
11/24/2014,334.78,337.39,333.6,335.64,2754186,335.64
11/21/2014,335.42,338.33,331.47,332.63,4466587,332.63
11/20/2014,324,332.67,323.33,330.54,3436721,330.54
11/19/2014,327.25,328.4,324.02,326.54,3281614,326.54
11/18/2014,323.99,329.56,323.25,324.93,3551161,324.93
11/17/2014,326.44,328,318.03,323.05,4784933,323.05
11/14/2014,317.12,332.88,316.401,327.82,8877785,327.82
11/13/2014,312,317.89,311.51,316.48,3686428,316.48
11/12/2014,310.75,312.58,308.79,311.51,2182982,311.51
11/11/2014,305.94,312.38,303.646,312.01,3807333,312.01
11/10/2014,300,305.799,300,305.11,2809056,305.11
11/7/2014,297.82,299.99,296.29,299.86,2647352,299.86
11/6/2014,296.69,297,292.29,296.64,3758121,296.64
11/5/2014,303.01,304,294.16,296.52,4674492,296.52
11/4/2014,303.99,304.25,300.17,302.81,3427384,302.81
11/3/2014,306.24,308.01,303.24,305.72,3244150,305.72
10/31/2014,305.15,305.72,301.5,305.46,4551795,305.46
10/30/2014,293.98,299.74,292.36,299.07,4055155,299.07
10/29/2014,299.11,299.61,293.0701,294.12,4883259,294.12
10/28/2014,289.76,298,289.76,295.59,5576646,295.59
10/27/2014,285.7,290.42,285.02,289.97,5950594,289.97
10/24/2014,284.4,293.81,284,287.06,19805911,287.06
10/23/2014,313.4,316.8,311.4,313.18,9038193,313.18
10/22/2014,315.43,318.98,312.64,312.97,3130049,312.97
10/21/2014,309.9,315.64,307.07,315.33,3563351,315.33
10/20/2014,302.95,306.53,302.02,306.21,3239490,306.21
10/17/2014,307.15,309.2,302.72,303.64,4409218,303.64
10/16/2014,293.83,306.82,293.83,302.86,4731866,302.86
10/15/2014,304.35,307.9,299.102,305.97,5348254,305.97
10/14/2014,308,312.24,305.75,308.31,3385809,308.31
10/13/2014,309.87,313.2,303.47,306.45,4369850,306.45
10/10/2014,314.02,317.77,311.38,311.39,3684314,311.39
10/9/2014,321.49,322.271,314.52,315.37,3589464,315.37
10/8/2014,316.58,324.11,314.14,322.7,3458960,322.7
10/7/2014,319.43,322,316.67,316.98,2365698,316.98
10/6/2014,323.5,324.13,319.6,322.2,2294194,322.2
10/3/2014,320.36,325.16,319.53,322.74,3037891,322.74
10/2/2014,316.92,318.53,311.31,318.41,3553944,318.41
10/1/2014,322.04,322.165,315.55,317.46,3096735,317.46
9/30/2014,321.36,323.43,318.51,322.44,2639967,322.44
9/29/2014,320.5,323.75,319,321.82,1929589,321.82
9/26/2014,320.6,323.5,317.64,323.21,3639155,323.21
