date,open,high,low,close,volume
4/24/2018,7173.9902,7195.7202,6961.521,7007.3525,3508851892
4/20/2018,7153.8701,7319.5801,7115.8501,7146.1299,9488140000
4/13/2018,6971.4502,7183.6201,6944.96,7106.6499,9936540000
4/6/2018,7016.1699,7112.3799,6805.96,6915.1099,11452510000
3/29/2018,7125.2002,7255.54,6901.0698,7063.4502,9725220000
3/23/2018,7419.2002,7421.23,6992.6699,6992.6699,11018080000
3/16/2018,7581.04,7637.27,7463.1899,7481.9902,11886280000
3/9/2018,7222.8901,7560.8101,7205.3101,7560.8101,58225720000
3/2/2018,7373.2998,7438.0898,7084.8301,7257.8701,11172700000
2/23/2018,7209.0298,7338.6401,7194.8398,7337.3901,7648540000
2/16/2018,6936.6802,7303.2598,6879.6899,7239.4702,10399080000
2/9/2018,7165.96,7277.3599,6630.6699,6874.4902,14468560000
2/2/2018,7484.4702,7500.6099,7238.1802,7240.9502,11554350000
1/26/2018,7338.04,7505.77,7332.8101,7505.77,10623380000
1/19/2018,7307.1899,7336.3799,7205.9302,7336.3799,8638700000
1/12/2018,7135.3799,7265.2598,7111.52,7261.0601,8160110000
1/5/2018,6937.6499,7137.04,6924.0801,7136.5601,8201500000
12/29/2017,6928.9199,6955.3799,6903.3901,6903.3901,5596930000
12/22/2017,6980.3999,7003.8901,6935.4199,6959.96,9444840000
12/15/2017,6847.6401,6945.8198,6844.8799,6936.5801,11095710000
12/8/2017,6897.1299,6899.23,6734.1299,6840.0801,10142120000
12/1/2017,6889.9102,6914.1899,6737.1602,6847.5898,10978820000
11/24/2017,6789.2798,6890.02,6779.4902,6889.1602,6121150000
11/17/2017,6727.3901,6806.6699,6667.3101,6782.79,9857290000
11/10/2017,6763.2998,6795.52,6687.2798,6750.9399,10691880000
11/3/2017,6693.77,6765.1401,6677.1499,6764.4399,10572340000
10/27/2017,6641.5698,6708.1299,6517.9302,6701.2598,10354490000
10/20/2017,6622.5498,6640.0298,6558.5298,6629.0498,8629420000
10/13/2017,6597.3701,6616.5801,6561.7798,6605.7998,8877000000
10/6/2017,6506.0801,6590.1802,6484.1401,6590.1802,9502930000
9/29/2017,6403.1099,6497.98,6343.96,6495.96,9826840000
9/22/2017,6460.1001,6477.77,6400.8101,6426.9199,9148560000
9/15/2017,6411.1802,6464.27,6410.71,6448.4702,10136760000
9/8/2017,6414.8198,6426.5098,6334.5898,6360.1899,7576920000
9/1/2017,6286.0098,6449.6499,6228.73,6435.3301,8282150000
8/25/2017,6216.3198,6308.7202,6177.1899,6265.6401,7766670000
8/18/2017,6306.1099,6374.5601,6193.3799,6216.5298,9089160000
8/11/2017,6361.0601,6423.3501,6214.4102,6256.5601,9649530000
8/4/2017,6394.6899,6396.5898,6313.4302,6351.5601,9829040000
7/28/2017,6387.8198,6460.8398,6318.6201,6374.6802,9993120000
7/21/2017,6320.3501,6398.2598,6291.0698,6387.75,8799320000
7/14/2017,6156.0298,6321.7598,6141.8301,6312.4702,8716060000
7/7/2017,6173.29,6177.3599,6081.96,6153.0801,6662910000
6/30/2017,6292.73,6303.4502,6087.8101,6140.4199,10802440000
6/23/2017,6196.8501,6269.3701,6186.9399,6265.25,13277490000
6/16/2017,6153.5601,6237.5298,6107.8501,6151.7598,11567860000
6/9/2017,6305.4702,6341.7002,6137.6802,6207.9199,10732610000
6/2/2017,6204.1802,6308.7598,6164.0698,6305.7998,7661490000
5/26/2017,6098.25,6217.3398,6097.2402,6210.1899,8436870000
5/19/2017,6128.1099,6170.1602,5996.8101,6083.7002,10234640000
5/12/2017,6100.6602,6133,6075.6802,6121.23,9707070000
5/5/2017,6067.5601,6102.7202,6053.2798,6100.7598,10008930000
4/28/2017,5979.96,6074.04,5970.25,6047.6099,9498070000
4/21/2017,5821.5498,5926.23,5818.2002,5910.52,8215100000
4/13/2017,5883.4302,5907.8501,5805.1499,5805.1499,6692550000
4/7/2017,5917.3198,5936.3901,5855.5098,5877.8101,9387480000
3/31/2017,5776.3301,5927.8101,5769.3901,5911.7402,8836870000
3/24/2017,5898.8101,5928.0601,5781.7998,5828.7402,9364880000
3/17/2017,5863.48,5912.6099,5831.8799,5901,10366310000
3/10/2017,5846.4199,5872.6001,5812.0801,5861.73,9266400000
3/3/2017,5835.04,5911.79,5817.2202,5870.75,10277730000
2/24/2017,5850.2002,5867.8901,5800.5498,5845.3101,7370390000
2/17/2017,5753.1899,5838.5801,5748.7402,5838.5801,9688010000
2/10/2017,5656.9502,5743.4302,5649.3901,5734.1299,9392290000
